emotion,PR,EVR_PC1,EVR_PC1-2,EVR_PC1-3,cos_PC1_globalCAA
joy,3.6116848064792095,0.12241829,0.18041806,0.2197285,0.2519512176513672
trust,3.5608605303024627,0.117916934,0.1746594,0.21309419,0.2538599371910095
fear,3.6037209273982076,0.11571095,0.17167445,0.20956226,0.2564402222633362
surprise,3.543085959046698,0.121722534,0.17955184,0.21801695,0.25335416197776794
sadness,3.69082887342591,0.11762674,0.17502019,0.21366107,0.258250892162323
disgust,3.7339248808306733,0.11494961,0.17174664,0.21081032,0.25251680612564087
anger,3.680815705651185,0.11588116,0.17272301,0.21170014,0.25753334164619446
anticipation,3.5899728418024286,0.11874286,0.17643379,0.21497387,0.24981148540973663
