n_dims,bal_acc,std
2,0.22815,0.004276680956068611
4,0.23374999999999999,0.0053572380943915435
8,0.25665,0.005195190083144206
16,0.27690000000000003,0.005898304841223442
32,0.29274999999999995,0.00242383992870817
64,0.3218,0.004072468538859449
