alpha_g,tm_mean,tm_ci,mp_mean,mp_ci,em_mean,em_ci,n
0.0,0.47137500000000004,0.023393131673219828,0.794125,0.011696248704646766,0.62515,0.015765010161326677,800
2.0,0.3963125,0.022680536120274278,0.7840625,0.012990647622395468,0.575225,0.016658946500961648,800
4.0,0.314125,0.022504133698292815,0.669875,0.02074755554988031,0.477375,0.0192707447500811,800
8.0,0.000625,0.0008119256417984113,0.0041875,0.0023749163594388775,0.004125,0.002725931831353543,800
