meta_pc,evr,evr_cumsum
1,0.1961122984331803,0.1961122984331803
2,0.18275007944586555,0.37886237787904586
3,0.1335041854570704,0.5123665633361163
4,0.09570059372145187,0.6080671570575682
5,0.08612593302447674,0.694193090082045
6,0.053046787206682926,0.7472398772887279
7,0.04067684050472509,0.787916717793453
8,0.03455922675809138,0.8224759445515444
9,0.0273965539349377,0.849872498486482
10,0.022081692771682884,0.871954191258165
