,joy_PC1,joy_PC2,joy_PC3,joy_PC4,joy_PC5,trust_PC1,trust_PC2,trust_PC3,trust_PC4,trust_PC5,fear_PC1,fear_PC2,fear_PC3,fear_PC4,fear_PC5,surprise_PC1,surprise_PC2,surprise_PC3,surprise_PC4,surprise_PC5,sadness_PC1,sadness_PC2,sadness_PC3,sadness_PC4,sadness_PC5,disgust_PC1,disgust_PC2,disgust_PC3,disgust_PC4,disgust_PC5,anger_PC1,anger_PC2,anger_PC3,anger_PC4,anger_PC5,anticipation_PC1,anticipation_PC2,anticipation_PC3,anticipation_PC4,anticipation_PC5
joy_PC1,1.0,-2.0383000842727483e-17,-1.1492543028346347e-17,1.3010426069826053e-18,2.1412992906588713e-17,-0.8703419248464261,0.09158582777526943,0.06691473214166375,-0.06345664947048323,0.008536229176252299,-0.7630097599217405,0.17343750322776055,-0.16153993994315852,0.1487168413370107,-0.06962186049728046,0.5570529123391884,-0.2629062494144999,0.21494948565955027,-0.19619421786015115,-0.025493516726514353,0.8305480049051105,0.27301560652636786,0.06529267147026256,-0.07165284256990503,0.04809129167034938,0.8730889472010611,0.19486140018137094,0.009723830885990981,0.13040494371246625,-0.0389544045926791,0.8744929908155168,0.17729522943448017,-0.043832238747508134,0.11259563574553375,-0.008353001888037448,0.4881674381658645,0.5520784081062547,0.05215574150676319,-0.38963037478525464,0.18552370565863682
joy_PC2,-2.0383000842727483e-17,1.0,0.0,1.3877787807814457e-17,-2.0816681711721685e-17,0.11773529075840605,0.8038050233710342,0.1397001637222221,-0.021978313035824155,-0.2746764468194625,0.19100180778826506,0.6821462880080104,0.2661093049227202,0.053036442694928854,0.15502858773495565,-0.5931403039816305,-0.12355989453080106,0.44958249426970937,-0.369584846610922,0.08370735046988487,-0.40382495011846786,0.7311751402598001,0.11223301078859003,0.004291413812471907,0.012304947317849183,-0.2975293513320784,0.7570690617978997,-0.0005397494395942056,0.013792453299993472,-0.16787754684183234,-0.2747861980795555,0.6964891715449396,0.060104133091051934,0.4211808876142477,0.12171827205210378,-0.6783711835461903,0.45892299536355885,0.005248366876016602,-0.001993930788345616,0.3089182131340549
joy_PC3,-1.1492543028346347e-17,0.0,1.0000000000000002,-2.1337098754514727e-16,4.5102810375396984e-17,0.01087991034700904,-0.15197475467761656,0.8037187283793552,-0.37798049098181213,-0.0066529242884233,0.0007399974481333109,-0.10364615918093184,-0.2663000027873325,0.6979307539081614,0.3639059506231502,0.07591116180542214,0.637788235377552,-0.01244052977868261,0.007589685404038585,-0.20723124851164845,-0.03246950651411379,-0.17286383039723718,0.7757462737748062,-0.37598685720435143,-0.20728043223596118,-0.02427158857857525,-0.013956211009973709,0.792583491271929,0.33387193249685654,0.3040505507673612,0.053503853237730825,-0.02923331236709401,0.8705818120932481,0.04430236532638063,-0.22016898611369867,-0.051327734400363714,-0.3528025607714486,-0.40685900518189677,-0.49649820112439463,0.47830791734124656
joy_PC4,1.3010426069826053e-18,1.3877787807814457e-17,-2.1337098754514727e-16,0.9999999999999999,1.6653345369377348e-16,-0.16007405149086404,0.21273945927680293,0.05338960387974104,0.10214822128842725,-0.1029921111771417,-0.3266986371096911,0.07472199825073654,0.3597610069487179,-0.022137212384494936,0.13896949404331213,0.04549805248466386,0.17767816734549668,0.3717446081970764,0.12623172064367413,0.23629920336210328,0.1227655025243826,0.297037860338404,-0.05102112199974031,-0.09958723588617921,0.23205859200329493,0.11627646394653438,0.20031143406512578,-0.019876552144911835,0.3616753459235762,-0.37138986228907844,0.14195467795227118,0.2219279468454209,-0.0581349731235364,0.14597457309418294,0.3631347007480197,0.1338579790547499,0.22007210772756397,-0.007815853567504725,0.23512190249466333,0.3362980944498357
joy_PC5,2.1412992906588713e-17,-2.0816681711721685e-17,4.5102810375396984e-17,1.6653345369377348e-16,0.9999999999999997,0.056489772546886696,-0.0916992050202649,-0.17962267429534332,-0.1342944955264878,-0.34211373100712494,0.023078563470203275,0.12135322547264359,-0.25538710330749115,-0.0735965895451053,-0.09153952773226832,-0.013176553088876658,0.20701290634652098,0.14090144318549994,0.019891982873952323,0.096173210099012,0.010341199673206628,0.0512007990995229,-0.07520398069885374,0.06067549570166948,-0.3714651062484538,0.07173496855649411,0.14155449072349988,0.03847802199584048,-0.16519288571114613,-0.013662587835555216,-0.013887984940876846,0.145455037224121,-0.025688754318352124,-0.0327158314736645,0.036365761328631487,0.07450105643959166,-0.2469617999959386,0.06921425638604439,0.2869112461344933,0.2621389921898764
trust_PC1,-0.8703419248464261,0.11773529075840605,0.01087991034700904,-0.16007405149086404,0.056489772546886696,1.0000000000000002,7.047314121155779e-18,-4.756937031780151e-17,-4.336808689942018e-19,4.336808689942018e-18,0.8302149922703643,-0.06067556200915185,0.20239144304651993,-0.04610316273200333,-0.048512876394920135,-0.5972259113042417,0.20287226738445752,-0.14855939725556222,0.12282878615722273,-0.08349584423440923,-0.8544099383076873,-0.20899170330567002,0.017065702949007715,0.15864143713726622,-0.024027868676663483,-0.8858370409963008,-0.0856717777500094,0.004325818457567205,-0.1305114321444465,0.0561977430543393,-0.8567257938279985,-0.045393421969406295,0.047258175841365095,-0.12824452586937835,-0.0536697185071534,-0.5538318691791233,-0.47146186785720123,-0.16191763565445239,0.422118517737028,-0.16662102604109652
trust_PC2,0.09158582777526943,0.8038050233710342,-0.15197475467761656,0.21273945927680293,-0.0916992050202649,7.047314121155779e-18,1.0000000000000002,5.204170427930421e-18,6.938893903907228e-18,5.377642775528102e-17,-0.024432822940933477,0.6293188859158259,0.353271519907279,-0.09199232712851399,0.04157187980436232,-0.5079842958826664,-0.22821600040193044,0.4721140367320209,-0.24089535426473843,0.25302631473632353,-0.24924031397436003,0.7628118664383361,-0.08391275051048228,0.002694979023626925,0.06249809147424325,-0.13285430791006841,0.7688934130514572,-0.1971217528362427,0.100772540219761,-0.1899271943654766,-0.12943708289242187,0.667991380586495,-0.11288161386049976,0.46230061088172475,0.16249299057837663,-0.5053100175173696,0.566067518496569,0.12722237449514368,0.1470618049454088,0.2672651367706524
trust_PC3,0.06691473214166375,0.1397001637222221,0.8037187283793552,0.05338960387974104,-0.17962267429534332,-4.756937031780151e-17,5.204170427930421e-18,0.9999999999999999,1.5612511283791264e-17,1.5178830414797062e-16,0.020340467618382076,-0.031261041153778646,0.004059711465789918,0.740574971337985,0.39748807491972976,0.09233091398986108,0.5003850999244447,0.12094181537052187,-0.13116042180370577,-0.2549596852811066,-0.05271643566847289,-0.017277186378572847,0.772025856375856,-0.37429582023568597,0.1584989322992667,-0.06688348664240716,0.009775398048820673,0.7304566614535448,0.43562012301429376,0.00902214555735775,0.06439495708543362,0.06494730404711725,0.7898503404323893,0.11345303491823552,-0.045285401498301195,-0.11604918473310305,-0.14764053852071732,-0.4664701863640627,-0.4418161720112353,0.44123352779222913
trust_PC4,-0.06345664947048323,-0.021978313035824155,-0.37798049098181213,0.10214822128842725,-0.1342944955264878,-4.336808689942018e-19,6.938893903907228e-18,1.5612511283791264e-17,1.0000000000000004,-5.67471417078913e-16,0.13127378976108336,-0.10972472055251462,0.25181133324105365,-0.25541578297515743,0.10705123721551882,0.07565954144635505,-0.2827516136905776,0.0741456512792468,-0.04700738737882563,0.016061603093239826,-0.1173604174869508,-0.018941998331147857,-0.33821751749420054,-0.0035507769993858036,0.5955229716329817,-0.1276661321685374,-0.19325108846792902,-0.4188999118414711,0.21054917233095263,-0.3793367694758406,-0.10876798720115148,-0.08839969745090054,-0.40785596762484133,-0.04162331849304791,0.26062423551713343,-0.1280967127201247,0.0786317245844567,0.12371157145518037,0.08205840909775677,-0.3122497171048668
trust_PC5,0.008536229176252299,-0.2746764468194625,-0.0066529242884233,-0.1029921111771417,-0.34211373100712494,4.336808689942018e-18,5.377642775528102e-17,1.5178830414797062e-16,-5.67471417078913e-16,1.0000000000000004,-0.08865937128788087,-0.43237037426288194,0.02105331570452283,-0.028670314677388297,0.01844631398961238,0.17539062276025266,-0.028224414852160234,-0.406513354959714,-0.07426736794525832,0.11637178107607542,0.07380882541380708,-0.38138209829399755,-0.17126418474178007,-0.2099102647505634,0.08558257944266792,0.05126693251088746,-0.38692092155845653,-0.17287973130557943,0.14295082721504804,0.20125496561406603,0.033689269590210374,-0.4128409965534418,-0.04972649684988643,0.13090000169291618,-0.18371500397436363,0.2245721634665357,-0.0673110789390437,0.08715745312250266,-0.25136319923432415,-0.2778464465794714
