a,b,c,res_ratio,cos
trust,fear,disgust,1.0799076477496783e-07,1.0
trust,fear,anger,1.1201450433873106e-07,1.0000001192092896
trust,fear,anticipation,1.2996233067497087e-07,1.0
trust,surprise,joy,1.7415615616300784e-07,1.0
trust,surprise,fear,1.4083198607295344e-07,0.9999999403953552
trust,surprise,sadness,1.3562386413923377e-07,1.0
trust,surprise,disgust,1.339204942496508e-07,0.9999999403953552
trust,surprise,anger,1.2848633446083113e-07,1.0
trust,surprise,anticipation,1.7326327395039698e-07,0.9999999403953552
trust,sadness,joy,1.5228462757477246e-07,1.0
trust,sadness,fear,1.0900899383159413e-07,1.0
trust,sadness,surprise,1.1951337341997714e-07,1.0
trust,sadness,disgust,9.880855600385985e-08,0.9999999403953552
trust,sadness,anger,1.107092302277124e-07,1.0
trust,sadness,anticipation,1.4001579984324053e-07,0.9999998807907104
trust,disgust,joy,1.814027967839138e-07,1.0
trust,disgust,fear,1.1382127240722184e-07,1.0
trust,disgust,surprise,1.2300917262564326e-07,1.0
trust,disgust,sadness,1.022222662072636e-07,1.0
trust,disgust,anger,1.07247799974175e-07,1.0
trust,disgust,anticipation,1.5472990355647198e-07,1.0
trust,anger,joy,1.9001875273261248e-07,1.0
trust,anger,fear,1.2514698255472467e-07,1.0
trust,anger,surprise,1.254585697552102e-07,1.0
trust,anger,sadness,1.214708049701585e-07,1.0
trust,anger,disgust,1.1381191455939188e-07,1.0
trust,anger,anticipation,1.6709189765151677e-07,0.9999999403953552
trust,anticipation,joy,1.1655535558929841e-07,1.0
trust,anticipation,fear,9.755555652191106e-08,1.0
trust,anticipation,surprise,1.1181456471831552e-07,1.0
trust,anticipation,sadness,1.0284402662819048e-07,1.0
trust,anticipation,disgust,1.1053410986505696e-07,1.0
trust,anticipation,anger,1.0901390368189823e-07,1.0
fear,joy,trust,1.2735324617096921e-07,1.0
fear,joy,surprise,1.276451797593836e-07,1.0000001192092896
fear,joy,sadness,1.7053808676337212e-07,1.0000001192092896
fear,joy,disgust,1.7657113460245455e-07,1.0
fear,joy,anger,1.6929026003253966e-07,1.0
fear,joy,anticipation,1.423095028485477e-07,1.0000001192092896
fear,trust,joy,1.1634092089707337e-07,1.0
fear,trust,surprise,1.3183763769575307e-07,1.0000001192092896
fear,trust,sadness,1.6718121287340182e-07,1.0000001192092896
fear,trust,disgust,1.5140750520004076e-07,1.0
fear,trust,anger,1.5885485993294424e-07,1.0
fear,trust,anticipation,1.269104217271888e-07,1.0000001192092896
fear,surprise,joy,1.2472182220335526e-07,1.0
fear,surprise,trust,1.4083198607295344e-07,0.9999999403953552
fear,surprise,sadness,1.7032037646913523e-07,1.0000001192092896
fear,surprise,disgust,1.5418656573729095e-07,1.0
fear,surprise,anger,1.477460216392501e-07,1.0
fear,surprise,anticipation,1.6913126898998598e-07,1.0000001192092896
fear,sadness,joy,1.0213395285063598e-07,1.0
fear,sadness,trust,1.0900899383159413e-07,1.0
fear,sadness,surprise,1.0568999186943984e-07,1.0000001192092896
fear,sadness,disgust,8.149726227202336e-08,0.9999999403953552
fear,sadness,anger,8.810647500467894e-08,1.0
fear,sadness,anticipation,1.0599519129073087e-07,0.9999999403953552
fear,disgust,joy,1.2038654517709801e-07,1.0
fear,disgust,trust,1.1382127240722184e-07,1.0
fear,disgust,surprise,1.0710469666719291e-07,1.0000001192092896
fear,disgust,sadness,9.304445569568998e-08,1.0000001192092896
fear,disgust,anger,8.821734809316695e-08,1.0000001192092896
fear,disgust,anticipation,1.3078341964956053e-07,1.0000001192092896
fear,anger,joy,1.2091258838609065e-07,1.0
fear,anger,trust,1.2514698255472467e-07,1.0
fear,anger,surprise,1.093823769338087e-07,1.0
fear,anger,sadness,1.0595599775342635e-07,1.0000001192092896
fear,anger,disgust,9.237236042736185e-08,1.0
fear,anger,anticipation,1.3605516357984015e-07,1.0000001192092896
fear,anticipation,joy,1.017391184632288e-07,0.9999999403953552
fear,anticipation,trust,9.755555652191106e-08,1.0
fear,anticipation,surprise,1.222284566892995e-07,1.0000001192092896
fear,anticipation,sadness,1.257799624454492e-07,1.0000001192092896
fear,anticipation,disgust,1.3450336666664953e-07,1.0
fear,anticipation,anger,1.3136218512954656e-07,1.0
surprise,joy,trust,1.0810317974119243e-07,1.0
surprise,joy,fear,1.276451797593836e-07,1.0000001192092896
surprise,joy,sadness,1.241233036353151e-07,1.0000001192092896
surprise,joy,disgust,1.3546942057018896e-07,0.9999999403953552
surprise,joy,anger,1.289663202896918e-07,1.0
surprise,joy,anticipation,1.120780126484533e-07,1.0
surprise,trust,joy,1.2502553659032856e-07,0.9999999403953552
surprise,trust,fear,1.3183763769575307e-07,1.0000001192092896
surprise,trust,sadness,1.500270201404419e-07,1.0000001192092896
surprise,trust,disgust,1.4814112603289686e-07,1.0000001192092896
surprise,trust,anger,1.4916024326794286e-07,1.0000001192092896
surprise,trust,anticipation,1.196703891537254e-07,1.0
surprise,fear,joy,1.3687154876151908e-07,1.0
surprise,fear,trust,1.242029554759938e-07,1.0
surprise,fear,sadness,1.2268824889360985e-07,1.0000001192092896
surprise,fear,disgust,1.2166853480266582e-07,0.9999998211860657
surprise,fear,anger,1.1932101529055217e-07,1.0000001192092896
surprise,fear,anticipation,1.2328543164130679e-07,1.0000001192092896
surprise,sadness,joy,1.1281754552783241e-07,0.9999998807907104
surprise,sadness,trust,1.1951337341997714e-07,1.0
surprise,sadness,fear,1.0568999186943984e-07,1.0000001192092896
surprise,sadness,disgust,9.849872384393166e-08,0.9999999403953552
surprise,sadness,anger,9.781948762110915e-08,1.0000001192092896
surprise,sadness,anticipation,1.1302031310833627e-07,1.0
surprise,disgust,joy,1.2792428094599018e-07,0.9999999403953552
surprise,disgust,trust,1.2300917262564326e-07,1.0
surprise,disgust,fear,1.0710469666719291e-07,1.0000001192092896
surprise,disgust,sadness,1.0151805440727912e-07,1.0000001192092896
surprise,disgust,anger,9.021290026112183e-08,1.0
surprise,disgust,anticipation,1.2219028633353446e-07,1.0
surprise,anger,joy,1.2672499849486485e-07,0.9999999403953552
surprise,anger,trust,1.254585697552102e-07,1.0
surprise,anger,fear,1.093823769338087e-07,1.0
surprise,anger,sadness,1.0439929098993161e-07,1.0000001192092896
surprise,anger,disgust,9.299589720512813e-08,1.0
surprise,anger,anticipation,1.2188634457288572e-07,1.0000001192092896
surprise,anticipation,joy,1.1891494722249263e-07,0.9999999403953552
surprise,anticipation,trust,1.1181456471831552e-07,1.0
surprise,anticipation,fear,1.222284566892995e-07,1.0000001192092896
surprise,anticipation,sadness,1.3295220924192108e-07,1.0000001192092896
surprise,anticipation,disgust,1.36608889533818e-07,0.9999999403953552
surprise,anticipation,anger,1.3204420667989325e-07,1.0
sadness,joy,trust,1.0460770738518477e-07,1.0
sadness,joy,fear,1.7053808676337212e-07,1.0000001192092896
sadness,joy,surprise,1.241233036353151e-07,1.0000001192092896
sadness,joy,disgust,1.9515795202096342e-07,1.0
sadness,joy,anger,1.72202192061377e-07,0.9999999403953552
sadness,joy,anticipation,1.1228572560639805e-07,0.9999998807907104
sadness,trust,joy,1.1354189410894833e-07,1.0000001192092896
sadness,trust,fear,1.6718121287340182e-07,1.0000001192092896
sadness,trust,surprise,1.500270201404419e-07,1.0000001192092896
sadness,trust,disgust,1.867615537776146e-07,1.0
sadness,trust,anger,1.9024503217224265e-07,0.9999999403953552
sadness,trust,anticipation,1.236880535770979e-07,1.0
sadness,fear,joy,1.1816794653896068e-07,1.0000001192092896
sadness,fear,trust,1.0597347710472604e-07,0.9999999403953552
sadness,fear,surprise,1.2268824889360985e-07,1.0000001192092896
sadness,fear,disgust,1.1010440204017868e-07,1.0
sadness,fear,anger,1.0539883987803478e-07,1.0
sadness,fear,anticipation,9.658440092152887e-08,0.9999998807907104
sadness,surprise,joy,1.2020306883187004e-07,1.0000001192092896
sadness,surprise,trust,1.3562386413923377e-07,1.0
sadness,surprise,fear,1.7032037646913523e-07,1.0000001192092896
sadness,surprise,disgust,1.6308921146901412e-07,1.0
sadness,surprise,anger,1.4596071196137927e-07,1.0000001192092896
sadness,surprise,anticipation,1.4114895918737602e-07,0.9999998807907104
sadness,disgust,joy,1.1667942345638949e-07,1.0000001192092896
sadness,disgust,trust,1.022222662072636e-07,1.0
sadness,disgust,fear,9.304445569568998e-08,1.0000001192092896
sadness,disgust,surprise,1.0151805440727912e-07,1.0000001192092896
sadness,disgust,anger,7.262408985297952e-08,1.0
sadness,disgust,anticipation,1.141406968940828e-07,0.9999998807907104
sadness,anger,joy,1.2103960500553512e-07,1.0000001192092896
sadness,anger,trust,1.214708049701585e-07,1.0
sadness,anger,fear,1.0595599775342635e-07,1.0000001192092896
sadness,anger,surprise,1.0439929098993161e-07,1.0000001192092896
sadness,anger,disgust,8.286981056926379e-08,1.0000001192092896
sadness,anger,anticipation,1.0675456962871976e-07,0.9999998807907104
sadness,anticipation,joy,1.012819978996049e-07,1.0000001192092896
sadness,anticipation,trust,1.0284402662819048e-07,1.0
sadness,anticipation,fear,1.257799624454492e-07,1.0000001192092896
sadness,anticipation,surprise,1.3295220924192108e-07,1.0000001192092896
sadness,anticipation,disgust,1.7460953927184164e-07,1.0
sadness,anticipation,anger,1.3769962947662862e-07,0.9999999403953552
disgust,joy,trust,1.212096236713478e-07,1.0
disgust,joy,fear,1.7657113460245455e-07,1.0
disgust,joy,surprise,1.3546942057018896e-07,0.9999999403953552
disgust,joy,sadness,1.9515795202096342e-07,1.0
disgust,joy,anger,3.4192518683084927e-07,1.0000001192092896
disgust,joy,anticipation,1.2543983984869556e-07,1.0
disgust,trust,joy,1.2197031651339785e-07,1.0
disgust,trust,fear,1.5140750520004076e-07,1.0
disgust,trust,surprise,1.4814112603289686e-07,1.0000001192092896
disgust,trust,sadness,1.867615537776146e-07,1.0
disgust,trust,anger,3.5167721534890006e-07,1.0000001192092896
disgust,trust,anticipation,1.155314990342049e-07,1.0
disgust,fear,joy,1.2560028039843019e-07,1.0
disgust,fear,trust,1.0799076477496783e-07,1.0
disgust,fear,surprise,1.2166853480266582e-07,0.9999998211860657
disgust,fear,sadness,1.1010440204017868e-07,1.0
disgust,fear,anger,1.933605062731658e-07,1.0000001192092896
disgust,fear,anticipation,9.983278914660332e-08,1.0
disgust,surprise,joy,1.2006535143882502e-07,1.0
disgust,surprise,trust,1.339204942496508e-07,0.9999999403953552
disgust,surprise,fear,1.5418656573729095e-07,1.0
disgust,surprise,sadness,1.6308921146901412e-07,1.0
disgust,surprise,anger,2.519607846807048e-07,1.0000001192092896
disgust,surprise,anticipation,1.3119907293912547e-07,1.0000001192092896
disgust,sadness,joy,1.0605349842762735e-07,1.0
disgust,sadness,trust,9.880855600385985e-08,0.9999999403953552
disgust,sadness,fear,8.149726227202336e-08,0.9999999403953552
disgust,sadness,surprise,9.849872384393166e-08,0.9999999403953552
disgust,sadness,anger,1.3228940076714935e-07,1.0000001192092896
disgust,sadness,anticipation,9.911268250561989e-08,1.0
disgust,anger,joy,1.1279630740546054e-07,1.0
disgust,anger,trust,1.1381191455939188e-07,1.0
disgust,anger,fear,9.237236042736185e-08,1.0
disgust,anger,surprise,9.299589720512813e-08,1.0
disgust,anger,sadness,8.286981056926379e-08,1.0000001192092896
disgust,anger,anticipation,1.0132831107512175e-07,1.0
disgust,anticipation,joy,1.1990196924216434e-07,1.0
disgust,anticipation,trust,1.1053410986505696e-07,1.0
disgust,anticipation,fear,1.3450336666664953e-07,1.0
disgust,anticipation,surprise,1.36608889533818e-07,0.9999999403953552
disgust,anticipation,sadness,1.7460953927184164e-07,1.0
disgust,anticipation,anger,2.913620846811682e-07,1.0000001192092896
anger,joy,trust,1.2004562677248032e-07,1.0
anger,joy,fear,1.6929026003253966e-07,1.0
anger,joy,surprise,1.289663202896918e-07,1.0
anger,joy,sadness,1.72202192061377e-07,0.9999999403953552
anger,joy,disgust,3.4192518683084927e-07,1.0000001192092896
anger,joy,anticipation,1.1926752563340415e-07,1.0
anger,trust,joy,1.225800474458083e-07,0.9999999403953552
anger,trust,fear,1.5885485993294424e-07,1.0
anger,trust,surprise,1.4916024326794286e-07,1.0000001192092896
anger,trust,sadness,1.9024503217224265e-07,0.9999999403953552
anger,trust,disgust,3.5167721534890006e-07,1.0000001192092896
anger,trust,anticipation,1.2234225721385883e-07,1.0
anger,fear,joy,1.204092541229329e-07,0.9999999403953552
anger,fear,trust,1.1201450433873106e-07,1.0000001192092896
anger,fear,surprise,1.1932101529055217e-07,1.0000001192092896
anger,fear,sadness,1.0539883987803478e-07,1.0
anger,fear,disgust,1.933605062731658e-07,1.0000001192092896
anger,fear,anticipation,1.0282678886142094e-07,1.0
anger,surprise,joy,1.161109395297899e-07,1.0
anger,surprise,trust,1.2848633446083113e-07,1.0
anger,surprise,fear,1.477460216392501e-07,1.0
anger,surprise,sadness,1.4596071196137927e-07,1.0000001192092896
anger,surprise,disgust,2.519607846807048e-07,1.0000001192092896
anger,surprise,anticipation,1.2640199997804302e-07,1.0
anger,sadness,joy,1.0408842143760921e-07,1.0
anger,sadness,trust,1.107092302277124e-07,1.0
anger,sadness,fear,8.810647500467894e-08,1.0
anger,sadness,surprise,9.781948762110915e-08,1.0000001192092896
anger,sadness,disgust,1.3228940076714935e-07,1.0000001192092896
anger,sadness,anticipation,8.890371105962913e-08,1.0
anger,disgust,joy,1.0918618187361062e-07,0.9999999403953552
anger,disgust,trust,1.07247799974175e-07,1.0
anger,disgust,fear,8.821734809316695e-08,1.0000001192092896
anger,disgust,surprise,9.021290026112183e-08,1.0
anger,disgust,sadness,7.262408985297952e-08,1.0
anger,disgust,anticipation,1.0020342955385786e-07,1.0
anger,anticipation,joy,1.1038410008268329e-07,0.9999999403953552
anger,anticipation,trust,1.0901390368189823e-07,1.0
anger,anticipation,fear,1.3136218512954656e-07,1.0
anger,anticipation,surprise,1.3204420667989325e-07,1.0
anger,anticipation,sadness,1.3769962947662862e-07,0.9999999403953552
anger,anticipation,disgust,2.913620846811682e-07,1.0000001192092896
anticipation,joy,trust,1.1045565884160169e-07,0.9999999403953552
anticipation,joy,fear,1.423095028485477e-07,1.0000001192092896
anticipation,joy,surprise,1.120780126484533e-07,1.0
anticipation,joy,sadness,1.1228572560639805e-07,0.9999998807907104
anticipation,joy,disgust,1.2543983984869556e-07,1.0
anticipation,joy,anger,1.1926752563340415e-07,1.0
anticipation,trust,joy,1.109599025994612e-07,1.0
anticipation,trust,fear,1.269104217271888e-07,1.0000001192092896
anticipation,trust,surprise,1.196703891537254e-07,1.0
anticipation,trust,sadness,1.236880535770979e-07,1.0
anticipation,trust,disgust,1.155314990342049e-07,1.0
anticipation,trust,anger,1.2234225721385883e-07,1.0
anticipation,fear,joy,1.4959508121137333e-07,1.0
anticipation,fear,trust,1.2996233067497087e-07,1.0
anticipation,fear,surprise,1.2328543164130679e-07,1.0000001192092896
anticipation,fear,sadness,9.658440092152887e-08,0.9999998807907104
anticipation,fear,disgust,9.983278914660332e-08,1.0
anticipation,fear,anger,1.0282678886142094e-07,1.0
anticipation,surprise,joy,1.6121013857173239e-07,1.0
anticipation,surprise,trust,1.7326327395039698e-07,0.9999999403953552
anticipation,surprise,fear,1.6913126898998598e-07,1.0000001192092896
anticipation,surprise,sadness,1.4114895918737602e-07,0.9999998807907104
anticipation,surprise,disgust,1.3119907293912547e-07,1.0000001192092896
anticipation,surprise,anger,1.2640199997804302e-07,1.0
anticipation,sadness,joy,1.2715538844076946e-07,1.0
anticipation,sadness,trust,1.4001579984324053e-07,0.9999998807907104
anticipation,sadness,fear,1.0599519129073087e-07,0.9999999403953552
anticipation,sadness,surprise,1.1302031310833627e-07,1.0
anticipation,sadness,disgust,9.911268250561989e-08,1.0
anticipation,sadness,anger,8.890371105962913e-08,1.0
anticipation,disgust,joy,1.7058691526017355e-07,1.0
anticipation,disgust,trust,1.5472990355647198e-07,1.0
anticipation,disgust,fear,1.3078341964956053e-07,1.0000001192092896
anticipation,disgust,surprise,1.2219028633353446e-07,1.0
anticipation,disgust,sadness,1.141406968940828e-07,0.9999998807907104
anticipation,disgust,anger,1.0020342955385786e-07,1.0
anticipation,anger,joy,1.6479290820825554e-07,1.0
anticipation,anger,trust,1.6709189765151677e-07,0.9999999403953552
anticipation,anger,fear,1.3605516357984015e-07,1.0000001192092896
anticipation,anger,surprise,1.2188634457288572e-07,1.0000001192092896
anticipation,anger,sadness,1.0675456962871976e-07,0.9999998807907104
anticipation,anger,disgust,1.0132831107512175e-07,1.0
