a,b,mean_cos,median_cos,iqr_cos,vbar_norm
joy,trust,0.27144333720207214,0.2743319571018219,0.199781596660614,1.2672655582427979
joy,fear,0.3584899306297302,0.3742590546607971,0.2039555311203003,1.9830827713012695
joy,surprise,0.3512181043624878,0.3680724799633026,0.22984644770622253,1.8012229204177856
joy,sadness,0.32111379504203796,0.3318408727645874,0.16353940963745117,1.6991782188415527
joy,disgust,0.34560975432395935,0.3557435870170593,0.15250694751739502,1.8924716711044312
joy,anger,0.3595694601535797,0.3708890676498413,0.14847788214683533,1.9855071306228638
joy,anticipation,0.2755410671234131,0.2835434675216675,0.1808013916015625,1.3263260126113892
trust,joy,0.27144333720207214,0.2743319571018219,0.199781596660614,1.2672655582427979
trust,fear,0.33946624398231506,0.3554658889770508,0.19186535477638245,1.8156126737594604
trust,surprise,0.3903304934501648,0.4031868577003479,0.22322776913642883,2.101203441619873
trust,sadness,0.3452552556991577,0.3583667278289795,0.19335457682609558,1.8492456674575806
trust,disgust,0.3525616526603699,0.3618617653846741,0.17103245854377747,1.9108167886734009
trust,anger,0.3706389367580414,0.3803384006023407,0.1670842170715332,2.0481810569763184
trust,anticipation,0.27784571051597595,0.28503671288490295,0.17173610627651215,1.3297921419143677
fear,joy,0.3584899306297302,0.3742590546607971,0.2039555311203003,1.9830827713012695
fear,trust,0.33946624398231506,0.3554658889770508,0.19186535477638245,1.8156126737594604
fear,surprise,0.3640899062156677,0.37494248151779175,0.2266993522644043,1.9479777812957764
fear,sadness,0.2430662363767624,0.25140929222106934,0.23967835307121277,1.1549279689788818
fear,disgust,0.27515560388565063,0.28274935483932495,0.20235314965248108,1.3322521448135376
fear,anger,0.2874906361103058,0.2918296754360199,0.17940005660057068,1.4126065969467163
fear,anticipation,0.27820277214050293,0.2871236801147461,0.23900918662548065,1.373389482498169
surprise,joy,0.3512181043624878,0.3680724799633026,0.22984644770622253,1.8012229204177856
surprise,trust,0.3903304934501648,0.4031868577003479,0.22322776913642883,2.101203441619873
surprise,fear,0.3640899062156677,0.37494248151779175,0.2266993522644043,1.9479777812957764
surprise,sadness,0.3271830379962921,0.3265623450279236,0.20648887753486633,1.6471407413482666
surprise,disgust,0.33684197068214417,0.3366064131259918,0.2009463757276535,1.7129240036010742
surprise,anger,0.3467467129230499,0.35182780027389526,0.1923043429851532,1.7655003070831299
surprise,anticipation,0.37711411714553833,0.39476636052131653,0.210995614528656,1.941056489944458
sadness,joy,0.32111379504203796,0.3318408727645874,0.16353940963745117,1.6991782188415527
sadness,trust,0.3452552556991577,0.3583667278289795,0.19335457682609558,1.8492456674575806
sadness,fear,0.2430662363767624,0.25140929222106934,0.23967835307121277,1.1549279689788818
sadness,surprise,0.3271830379962921,0.3265623450279236,0.20648887753486633,1.6471407413482666
sadness,disgust,0.21992482244968414,0.21860215067863464,0.1706545203924179,0.9849655032157898
sadness,anger,0.25420576333999634,0.25664037466049194,0.17612937092781067,1.1636241674423218
sadness,anticipation,0.30863723158836365,0.32155126333236694,0.18542243540287018,1.5226258039474487
disgust,joy,0.34560975432395935,0.3557435870170593,0.15250694751739502,1.8924716711044312
disgust,trust,0.3525616526603699,0.3618617653846741,0.17103245854377747,1.9108167886734009
disgust,fear,0.27515560388565063,0.28274935483932495,0.20235314965248108,1.3322521448135376
disgust,surprise,0.33684197068214417,0.3366064131259918,0.2009463757276535,1.7129240036010742
disgust,sadness,0.21992482244968414,0.21860215067863464,0.1706545203924179,0.9849655032157898
disgust,anger,0.13961611688137054,0.134217768907547,0.1701236367225647,0.609833300113678
disgust,anticipation,0.34949079155921936,0.3611788749694824,0.16657763719558716,1.8121496438980103
anger,joy,0.3595694601535797,0.3708890676498413,0.14847788214683533,1.9855071306228638
anger,trust,0.3706389367580414,0.3803384006023407,0.1670842170715332,2.0481810569763184
anger,fear,0.2874906361103058,0.2918296754360199,0.17940005660057068,1.4126065969467163
anger,surprise,0.3467467129230499,0.35182780027389526,0.1923043429851532,1.7655003070831299
anger,sadness,0.25420576333999634,0.25664037466049194,0.17612937092781067,1.1636241674423218
anger,disgust,0.13961611688137054,0.134217768907547,0.1701236367225647,0.609833300113678
anger,anticipation,0.35406139492988586,0.3653043508529663,0.16414913535118103,1.8514113426208496
anticipation,joy,0.2755410671234131,0.2835434675216675,0.1808013916015625,1.3263260126113892
anticipation,trust,0.27784571051597595,0.28503671288490295,0.17173610627651215,1.3297921419143677
anticipation,fear,0.27820277214050293,0.2871236801147461,0.23900918662548065,1.373389482498169
anticipation,surprise,0.37711411714553833,0.39476636052131653,0.210995614528656,1.941056489944458
anticipation,sadness,0.30863723158836365,0.32155126333236694,0.18542243540287018,1.5226258039474487
anticipation,disgust,0.34949079155921936,0.3611788749694824,0.16657763719558716,1.8121496438980103
anticipation,anger,0.35406139492988586,0.3653043508529663,0.16414913535118103,1.8514113426208496
