a,b,target_intensity,median_cos
sadness,trust,medium,0.3704169988632202
sadness,fear,low,0.19807450473308563
sadness,fear,high,0.28325507044792175
sadness,fear,medium,0.2691282331943512
sadness,surprise,low,0.26215285062789917
sadness,surprise,high,0.39673304557800293
sadness,surprise,medium,0.33536335825920105
sadness,disgust,low,0.15424995124340057
sadness,disgust,high,0.27238452434539795
sadness,disgust,medium,0.2324705421924591
sadness,anger,low,0.18680918216705322
sadness,anger,high,0.31333616375923157
sadness,anger,medium,0.25806429982185364
sadness,anticipation,low,0.28634244203567505
sadness,anticipation,high,0.3344149887561798
sadness,anticipation,medium,0.3354024291038513
disgust,joy,low,0.2926400899887085
disgust,joy,high,0.3935125768184662
disgust,joy,medium,0.37053996324539185
disgust,trust,low,0.3066968321800232
disgust,trust,high,0.40541303157806396
disgust,trust,medium,0.37277716398239136
disgust,fear,low,0.2215346097946167
disgust,fear,high,0.3241059482097626
disgust,fear,medium,0.30257418751716614
disgust,surprise,low,0.2596468925476074
disgust,surprise,high,0.4073777198791504
disgust,surprise,medium,0.3481980562210083
disgust,sadness,low,0.15424995124340057
disgust,sadness,high,0.27238452434539795
disgust,sadness,medium,0.2324705421924591
disgust,anger,low,0.10798080265522003
disgust,anger,high,0.16704320907592773
disgust,anger,medium,0.13398364186286926
disgust,anticipation,low,0.31503695249557495
disgust,anticipation,high,0.38568437099456787
disgust,anticipation,medium,0.3777449429035187
anger,joy,low,0.31427454948425293
anger,joy,high,0.4024837017059326
anger,joy,medium,0.3819250464439392
anger,trust,low,0.3223433494567871
anger,trust,high,0.42932313680648804
anger,trust,medium,0.3878561854362488
anger,fear,low,0.2327694445848465
anger,fear,high,0.33141541481018066
anger,fear,medium,0.30432501435279846
anger,surprise,low,0.2956501543521881
anger,surprise,high,0.4017457365989685
anger,surprise,medium,0.35313916206359863
anger,sadness,low,0.18680918216705322
anger,sadness,high,0.31333616375923157
anger,sadness,medium,0.25806429982185364
anger,disgust,low,0.10798080265522003
anger,disgust,high,0.16704320907592773
anger,disgust,medium,0.13398364186286926
anger,anticipation,low,0.3174734115600586
anger,anticipation,high,0.39315301179885864
anger,anticipation,medium,0.37558209896087646
anticipation,joy,low,0.259029746055603
anticipation,joy,high,0.2982332706451416
anticipation,joy,medium,0.28315281867980957
anticipation,trust,low,0.2567647099494934
anticipation,trust,high,0.30499884486198425
anticipation,trust,medium,0.2892732620239258
anticipation,fear,low,0.2065766155719757
anticipation,fear,high,0.34839296340942383
anticipation,fear,medium,0.3105538785457611
anticipation,surprise,low,0.3563632369041443
anticipation,surprise,high,0.4297083616256714
anticipation,surprise,medium,0.39502111077308655
anticipation,sadness,low,0.28634244203567505
anticipation,sadness,high,0.3344149887561798
anticipation,sadness,medium,0.3354024291038513
anticipation,disgust,low,0.31503695249557495
anticipation,disgust,high,0.38568437099456787
anticipation,disgust,medium,0.3777449429035187
anticipation,anger,low,0.3174734115600586
anticipation,anger,high,0.39315301179885864
anticipation,anger,medium,0.37558209896087646
