,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
joy,1.0,0.9904862,0.9770856,0.980877,0.9829145,0.9787868,0.97668064,0.98947525
trust,0.9904862,1.0,0.98055315,0.97372794,0.9795718,0.9782467,0.97494835,0.9893018
fear,0.9770856,0.98055315,1.0,0.97780764,0.99240744,0.9897233,0.9882576,0.9890255
surprise,0.980877,0.97372794,0.97780764,0.9999999,0.98392284,0.9826987,0.9817537,0.9775014
sadness,0.9829145,0.9795718,0.99240744,0.98392284,0.9999999,0.9942892,0.99193484,0.9862088
disgust,0.9787868,0.9782467,0.9897233,0.9826987,0.9942892,1.0000001,0.99780065,0.9803779
anger,0.97668064,0.97494835,0.9882576,0.9817537,0.99193484,0.99780065,0.9999999,0.9795004
anticipation,0.98947525,0.9893018,0.9890255,0.9775014,0.9862088,0.9803779,0.9795004,0.9999998
