layer,PR,EVR_PC1,EVR_PC2,EVR_PC3,EVR_PC1-2,EVR_PC1-3
8,,,,,,
10,3.874939738968541,0.4084047821002156,0.2305968999042565,0.15432424656162733,0.639001682004472,0.7933259285660994
13,3.6587836011277295,0.4287890389413807,0.2408751885685989,0.1397591986497414,0.6696642275099796,0.809423426159721
16,3.437864439629821,0.44800537968150883,0.2551203494297864,0.12720787908724351,0.7031257291112952,0.8303336081985387
19,3.4206001913723205,0.44626111609923796,0.2628203017492765,0.12573540973746525,0.7090814178485145,0.8348168275859797
22,3.3710944064149735,0.4481368484365018,0.26957801302064727,0.12542918445483908,0.7177148614571491,0.8431440459119882
