,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
joy,0.91911256,0.96004325,0.93397677,0.94494796,0.93884873,0.9326167,0.93084913,0.9547658
trust,0.96004325,0.92261803,0.9395729,0.9381324,0.937485,0.93454015,0.93196046,0.9550788
fear,0.93397677,0.9395729,0.9126848,0.94334656,0.96120363,0.9565281,0.95423645,0.9540974
surprise,0.94494796,0.9381324,0.94334656,0.9142959,0.950416,0.9496538,0.9480839,0.94369364
sadness,0.93884873,0.937485,0.96120363,0.950416,0.9192393,0.9645138,0.9619703,0.9488825
disgust,0.9326167,0.93454015,0.9565281,0.9496538,0.9645138,0.9154694,0.9711544,0.94077814
anger,0.93084913,0.93196046,0.95423645,0.9480839,0.9619703,0.9711544,0.908624,0.94080496
anticipation,0.9547658,0.9550788,0.9540974,0.94369364,0.9488825,0.94077814,0.94080496,0.9242121
