layer,pair,type,cos_orig,cos_resid
8,joy↔sadness,opposite,0.0,0.0
8,trust↔disgust,opposite,0.0,0.0
8,fear↔anger,opposite,0.0,0.0
8,anticipation↔surprise,opposite,0.0,0.0
8,joy↔trust,adjacent,0.0,0.0
8,trust↔fear,adjacent,0.0,0.0
8,fear↔surprise,adjacent,0.0,0.0
8,surprise↔sadness,adjacent,0.0,0.0
8,sadness↔disgust,adjacent,0.0,0.0
8,disgust↔anger,adjacent,0.0,0.0
8,anger↔anticipation,adjacent,0.0,0.0
8,anticipation↔joy,adjacent,0.0,0.0
10,joy↔sadness,opposite,0.9844616055488586,-0.3492549657821655
10,trust↔disgust,opposite,0.9804376363754272,-0.4553459882736206
10,fear↔anger,opposite,0.9878791570663452,0.021107293665409088
10,anticipation↔surprise,opposite,0.9811950922012329,-0.24494872987270355
10,joy↔trust,adjacent,0.9907236099243164,0.43249189853668213
10,trust↔fear,adjacent,0.9819568395614624,-0.2315436750650406
10,fear↔surprise,adjacent,0.979973316192627,-0.3068775534629822
10,surprise↔sadness,adjacent,0.9843668937683105,-0.22142963111400604
10,sadness↔disgust,adjacent,0.9940917491912842,0.3420150578022003
10,disgust↔anger,adjacent,0.9978461265563965,0.8125596046447754
10,anger↔anticipation,adjacent,0.9805147647857666,-0.6023014783859253
10,anticipation↔joy,adjacent,0.9894262552261353,0.23989760875701904
13,joy↔sadness,opposite,0.9843307733535767,-0.4392714202404022
13,trust↔disgust,opposite,0.980833113193512,-0.5131629705429077
13,fear↔anger,opposite,0.9894335269927979,0.06325002014636993
13,anticipation↔surprise,opposite,0.9801192283630371,-0.33491572737693787
13,joy↔trust,adjacent,0.99214768409729,0.5053238868713379
13,trust↔fear,adjacent,0.9826768040657043,-0.2825666666030884
13,fear↔surprise,adjacent,0.9812406897544861,-0.3032250702381134
13,surprise↔sadness,adjacent,0.9857924580574036,-0.13794885575771332
13,sadness↔disgust,adjacent,0.9951280951499939,0.40274176001548767
13,disgust↔anger,adjacent,0.9979516267776489,0.8120726943016052
13,anger↔anticipation,adjacent,0.9815027117729187,-0.5736728310585022
13,anticipation↔joy,adjacent,0.9904653429985046,0.29529568552970886
16,joy↔sadness,opposite,0.9848057627677917,-0.49651646614074707
16,trust↔disgust,opposite,0.980915904045105,-0.5254684090614319
16,fear↔anger,opposite,0.9910737872123718,0.11044315993785858
16,anticipation↔surprise,opposite,0.9825520515441895,-0.3313072621822357
16,joy↔trust,adjacent,0.9929298758506775,0.5506204962730408
16,trust↔fear,adjacent,0.9831694960594177,-0.3383401036262512
16,fear↔surprise,adjacent,0.9845508933067322,-0.26658862829208374
16,surprise↔sadness,adjacent,0.9873074293136597,-0.1486389935016632
16,sadness↔disgust,adjacent,0.9959006309509277,0.45773762464523315
16,disgust↔anger,adjacent,0.9978303909301758,0.7913712859153748
16,anger↔anticipation,adjacent,0.9828416705131531,-0.57646644115448
16,anticipation↔joy,adjacent,0.9917958974838257,0.34435465931892395
19,joy↔sadness,opposite,0.9885618686676025,-0.4690907597541809
19,trust↔disgust,opposite,0.9844878315925598,-0.5172694325447083
19,fear↔anger,opposite,0.9920932054519653,0.05404991656541824
19,anticipation↔surprise,opposite,0.9859944581985474,-0.3365761637687683
19,joy↔trust,adjacent,0.9946881532669067,0.5850933194160461
19,trust↔fear,adjacent,0.9866349101066589,-0.3205913007259369
19,fear↔surprise,adjacent,0.9880686402320862,-0.24840906262397766
19,surprise↔sadness,adjacent,0.9900749921798706,-0.1255010962486267
19,sadness↔disgust,adjacent,0.996415376663208,0.3847222924232483
19,disgust↔anger,adjacent,0.9981162548065186,0.7968870997428894
19,anger↔anticipation,adjacent,0.9856430292129517,-0.5606590509414673
19,anticipation↔joy,adjacent,0.9934179782867432,0.3190983235836029
22,joy↔sadness,opposite,0.9917538166046143,-0.42925381660461426
22,trust↔disgust,opposite,0.9882497191429138,-0.4809003472328186
22,fear↔anger,opposite,0.994073212146759,0.04527554661035538
22,anticipation↔surprise,opposite,0.9894713163375854,-0.32969680428504944
22,joy↔trust,adjacent,0.995863139629364,0.5772325992584229
22,trust↔fear,adjacent,0.9897900223731995,-0.33908170461654663
22,fear↔surprise,adjacent,0.991395890712738,-0.19947700202465057
22,surprise↔sadness,adjacent,0.9924965500831604,-0.11041755974292755
22,sadness↔disgust,adjacent,0.996832549571991,0.28266412019729614
22,disgust↔anger,adjacent,0.998568594455719,0.7982037663459778
22,anger↔anticipation,adjacent,0.9892148971557617,-0.5647554397583008
22,anticipation↔joy,adjacent,0.9950054287910461,0.2955068349838257
