layer,PR_orig,PR_resid,EVR1_orig,EVR1_resid,EVR2_orig,EVR2_resid,EVR3_orig,EVR3_resid,mean_g_proj_orig,std_g_proj_orig
8,,,,,,,,,0.0,0.0
10,3.8788741337059442,3.875115221666756,0.406550794839859,0.4194774627685547,0.23086334764957428,0.2113855630159378,0.15961773693561554,0.13982105255126953,0.9933745265007019,0.0016824064077809453
13,3.6148882969167517,3.6301488730975024,0.43702447414398193,0.4482513666152954,0.23207971453666687,0.20506466925144196,0.14332421123981476,0.13290691375732422,0.993700385093689,0.001801918144337833
16,3.329916272117721,3.444135080765201,0.475037544965744,0.4705387055873871,0.2193606048822403,0.1972222477197647,0.13017137348651886,0.1289733499288559,0.9941862225532532,0.0017989783082157373
19,3.3284843066497203,3.554233013742464,0.4773992896080017,0.45700329542160034,0.20917069911956787,0.1999078392982483,0.13889914751052856,0.1349504441022873,0.9953212738037109,0.0015717105707153678
22,3.3675001038576227,3.6612225537906022,0.4707459807395935,0.4428730905056,0.20977675914764404,0.20188568532466888,0.14998969435691833,0.14768977463245392,0.9964686036109924,0.0012545993085950613
