layer,e1,e2,cos_orig,cos_resid
13,trust,sadness,0.9825056791305542,-0.5408470034599304
13,trust,disgust,0.980833113193512,-0.5131629705429077
13,trust,anger,0.9777401685714722,-0.5816211700439453
13,trust,anticipation,0.9905984401702881,0.3357541859149933
13,fear,joy,0.9793322086334229,-0.5989362001419067
13,fear,trust,0.9826768040657043,-0.2825666666030884
13,fear,fear,1.0000001192092896,0.9999999403953552
13,fear,surprise,0.9812406897544861,-0.3032250702381134
13,fear,sadness,0.9933829307556152,0.2571215331554413
13,fear,disgust,0.9906909465789795,0.06691078096628189
13,fear,anger,0.9894335269927979,0.06325002014636993
13,fear,anticipation,0.9901678562164307,0.12097255885601044
13,surprise,joy,0.9827455878257751,-0.02715185284614563
13,surprise,trust,0.9775123596191406,-0.2950986623764038
13,surprise,fear,0.9812406897544861,-0.3032250702381134
13,surprise,surprise,1.0,1.0000001192092896
13,surprise,sadness,0.9857924580574036,-0.13794885575771332
13,surprise,disgust,0.984979510307312,-0.09513131529092789
13,surprise,anger,0.9841176271438599,-0.0543149895966053
13,surprise,anticipation,0.9801192283630371,-0.33491572737693787
13,sadness,joy,0.9843307733535767,-0.4392714202404022
13,sadness,trust,0.9825056791305542,-0.5408470034599304
13,sadness,fear,0.9933829307556152,0.2571215331554413
13,sadness,surprise,0.9857924580574036,-0.13794885575771332
13,sadness,sadness,1.0,0.9999998807907104
13,sadness,disgust,0.9951280951499939,0.40274176001548767
13,sadness,anger,0.9928661584854126,0.25046342611312866
13,sadness,anticipation,0.9878735542297363,-0.3121854066848755
13,disgust,joy,0.9808088541030884,-0.5821159482002258
13,disgust,trust,0.980833113193512,-0.5131629705429077
13,disgust,fear,0.9906909465789795,0.06691078096628189
13,disgust,surprise,0.984979510307312,-0.09513131529092789
13,disgust,sadness,0.9951280951499939,0.40274176001548767
13,disgust,disgust,0.9999998807907104,1.0
13,disgust,anger,0.9979516267776489,0.8120726943016052
13,disgust,anticipation,0.9823961853981018,-0.6891515254974365
13,anger,joy,0.9787523150444031,-0.5701667666435242
13,anger,trust,0.9777401685714722,-0.5816211700439453
13,anger,fear,0.9894335269927979,0.06325002014636993
13,anger,surprise,0.9841176271438599,-0.0543149895966053
13,anger,sadness,0.9928661584854126,0.25046342611312866
13,anger,disgust,0.9979516267776489,0.8120726943016052
13,anger,anger,1.0,1.0
13,anger,anticipation,0.9815027117729187,-0.5736728310585022
13,anticipation,joy,0.9904653429985046,0.29529568552970886
13,anticipation,trust,0.9905984401702881,0.3357541859149933
13,anticipation,fear,0.9901678562164307,0.12097255885601044
13,anticipation,surprise,0.9801192283630371,-0.33491572737693787
13,anticipation,sadness,0.9878735542297363,-0.3121854066848755
13,anticipation,disgust,0.9823961853981018,-0.6891515254974365
13,anticipation,anger,0.9815027117729187,-0.5736728310585022
13,anticipation,anticipation,1.0000001192092896,0.9999999403953552
16,joy,joy,0.9999998807907104,0.9999998807907104
16,joy,trust,0.9929298758506775,0.5506204962730408
16,joy,fear,0.9815852642059326,-0.6139286160469055
16,joy,surprise,0.9846178889274597,-0.009020350873470306
16,joy,sadness,0.9848057627677917,-0.49651646614074707
16,joy,disgust,0.980879545211792,-0.6773456931114197
16,joy,anger,0.9790645837783813,-0.6203606128692627
16,joy,anticipation,0.9917958974838257,0.34435465931892395
16,trust,joy,0.9929298758506775,0.5506204962730408
16,trust,trust,0.9999998807907104,0.9999998807907104
16,trust,fear,0.9831694960594177,-0.3383401036262512
16,trust,surprise,0.9774793982505798,-0.3703250288963318
16,trust,sadness,0.9830630421638489,-0.5128030180931091
16,trust,disgust,0.980915904045105,-0.5254684090614319
16,trust,anger,0.9775295257568359,-0.5994360446929932
16,trust,anticipation,0.9910403490066528,0.35232260823249817
16,fear,joy,0.9815852642059326,-0.6139286160469055
16,fear,trust,0.9831694960594177,-0.3383401036262512
16,fear,fear,1.0000001192092896,1.0000001192092896
16,fear,surprise,0.9845508933067322,-0.26658862829208374
16,fear,sadness,0.9947987198829651,0.3090025782585144
16,fear,disgust,0.993022620677948,0.1902356594800949
16,fear,anger,0.9910737872123718,0.11044315993785858
16,fear,anticipation,0.9909427762031555,0.04540908336639404
16,surprise,joy,0.9846178889274597,-0.009020350873470306
16,surprise,trust,0.9774793982505798,-0.3703250288963318
16,surprise,fear,0.9845508933067322,-0.26658862829208374
16,surprise,surprise,1.0,1.0
16,surprise,sadness,0.9873074293136597,-0.1486389935016632
16,surprise,disgust,0.9866746664047241,-0.08587950468063354
16,surprise,anger,0.9864035248756409,0.008925003930926323
16,surprise,anticipation,0.9825520515441895,-0.3313072621822357
16,sadness,joy,0.9848057627677917,-0.49651646614074707
16,sadness,trust,0.9830630421638489,-0.5128030180931091
16,sadness,fear,0.9947987198829651,0.3090025782585144
16,sadness,surprise,0.9873074293136597,-0.1486389935016632
16,sadness,sadness,1.0000001192092896,1.0
16,sadness,disgust,0.9959006309509277,0.45773762464523315
16,sadness,anger,0.9931846261024475,0.2439243495464325
16,sadness,anticipation,0.9891051054000854,-0.3127209544181824
16,disgust,joy,0.980879545211792,-0.6773456931114197
