,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
mean,0.16033031046390533,0.1635124832391739,0.14344476163387299,0.16454489529132843,0.12665583193302155,0.12969502806663513,0.1441020369529724,0.14937159419059753
std,0.05149533227086067,0.05762120336294174,0.08031011372804642,0.06848538666963577,0.06226339936256409,0.05548414587974548,0.0530078150331974,0.05519524961709976
25%,0.1281454861164093,0.12307840771973133,0.08543071895837784,0.12293375469744205,0.0873586181551218,0.09378926828503609,0.10984846390783787,0.11198166944086552
50%,0.1577894687652588,0.16165722161531448,0.14671991765499115,0.16940990835428238,0.13545944541692734,0.13078346848487854,0.14796198159456253,0.15364422649145126
75%,0.19146400317549706,0.20341162011027336,0.2058381848037243,0.2122107334434986,0.17170505225658417,0.1680743396282196,0.179696723818779,0.1905929520726204
