,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
mean,0.8526484370231628,0.8511621356010437,0.8509591817855835,0.8537502288818359,0.8540962934494019,0.8513068556785583,0.8518855571746826,0.8552718162536621
std,0.056293316185474396,0.055485017597675323,0.05545768514275551,0.05688001215457916,0.05533241108059883,0.05560317635536194,0.0558946467936039,0.05557801574468613
25%,0.8249475210905075,0.8274025619029999,0.830454096198082,0.8277104198932648,0.8299348205327988,0.8286937475204468,0.8280818313360214,0.8300798386335373
50%,0.8702769875526428,0.8679621815681458,0.8671080768108368,0.8714680075645447,0.869378000497818,0.867702841758728,0.8688786327838898,0.8723548352718353
75%,0.8922047168016434,0.889896884560585,0.8895896375179291,0.8935943841934204,0.8924474567174911,0.8899291753768921,0.8914989531040192,0.8940374255180359
