,joy,trust,fear,surprise,sadness,disgust,anger,anticipation
joy,0.8858333333333334,0.03333333333333333,0.0008333333333333334,0.021666666666666667,0.008333333333333333,0.0016666666666666668,0.0008333333333333334,0.0475
trust,0.03333333333333333,0.9216666666666666,0.004166666666666667,0.005833333333333334,0.005,0.0016666666666666668,0.0008333333333333334,0.0275
fear,0.0033333333333333335,0.0125,0.8441666666666666,0.010833333333333334,0.07416666666666667,0.015833333333333335,0.008333333333333333,0.030833333333333334
surprise,0.0325,0.0033333333333333335,0.004166666666666667,0.9283333333333333,0.01,0.009166666666666667,0.0033333333333333335,0.009166666666666667
sadness,0.0025,0.010833333333333334,0.08,0.01,0.8125,0.058333333333333334,0.013333333333333334,0.0125
disgust,0.0,0.008333333333333333,0.0175,0.009166666666666667,0.06916666666666667,0.6675,0.22583333333333333,0.0025
anger,0.0025,0.0008333333333333334,0.005833333333333334,0.008333333333333333,0.0175,0.24083333333333334,0.7208333333333333,0.0033333333333333335
anticipation,0.0475,0.0325,0.035833333333333335,0.0075,0.0075,0.0008333333333333334,0.0025,0.8658333333333333
