layer,emotion,pc,evr,high_pole_score_max,low_pole_score_min,score_std
13,joy,1,0.2269553630692562,2.411219948289472,-2.77975485120922,1.0618249385722995
13,joy,2,0.04671384532906063,1.731725237218098,-1.9039021327673726,0.48173201039616725
13,joy,3,0.030335262801479846,1.6654625180915574,-2.47468772832612,0.38820093576842246
13,joy,4,0.023697917456109108,1.4992185455070284,-1.364303556896262,0.34311348996710006
13,joy,5,0.018967421671782645,1.197007212114387,-1.3797864364292922,0.3069649373432061
13,trust,1,0.15765948599718432,2.3860411093383735,-1.9907505566092532,0.8751680594795037
13,trust,2,0.047220819560794415,2.183633009094502,-1.9998325988127508,0.4789588099935535
13,trust,3,0.03043026244654149,1.6527284004025415,-1.7279032951591877,0.38448929711197194
13,trust,4,0.024858316198715515,1.0145627007484825,-1.5128498191983892,0.347509969366773
13,trust,5,0.021782675944510575,1.407345514909357,-1.3847750710147462,0.3253022689034623
13,fear,1,0.09112966458754698,2.07341081517258,-2.0586013481803196,0.5965389826712824
13,fear,2,0.04447324632893604,1.8137514268416086,-1.4536964118308076,0.4167334479885094
13,fear,3,0.03793641158687813,1.3951663360225153,-1.4344116073854436,0.3848903900694645
13,fear,4,0.030752648691390015,2.0282830046683147,-1.804797281082557,0.3465374762914544
13,fear,5,0.023776075785548988,1.084421364539548,-1.2364280325064796,0.3047046537394502
13,surprise,1,0.07598497897908195,1.9718643003519458,-2.590695893744374,0.5518596635766704
13,surprise,2,0.05838587969287567,1.5187361007601226,-1.6842835834615473,0.48374745371563044
13,surprise,3,0.04359165889325361,1.9285535166426981,-1.6416747070364055,0.4179905625258897
13,surprise,4,0.03586620930963243,1.3403406017671342,-1.1974347014223283,0.37914690695875547
13,surprise,5,0.02761909195613464,1.250323877593182,-1.4084572642910533,0.332712775032599
13,sadness,1,0.13637686618483208,2.0647314057086925,-2.7662412112158057,0.7095784910722349
13,sadness,2,0.04318857374459368,1.7768438082562819,-1.5304574631567605,0.3993139848501258
13,sadness,3,0.03243664813352784,1.8247036117780455,-1.5975171873094869,0.3460573471643641
13,sadness,4,0.026217183481862166,1.1677108320511271,-1.2989695201319145,0.31111654468092154
13,sadness,5,0.02369888022855465,1.5150665323402255,-1.256340353930338,0.2957971622065538
13,disgust,1,0.13008020635518888,2.10725488225541,-2.348073833388208,0.7084452138429088
13,disgust,2,0.04481148654176688,1.7504481709686552,-1.607189332947316,0.41581039054067903
13,disgust,3,0.031956791845304124,1.8350782475776235,-1.7442143202637785,0.3511415721075938
13,disgust,4,0.026323299640438468,1.8713976734866506,-1.269791002286381,0.3186917572686859
13,disgust,5,0.024979020815902003,1.5979575445849503,-1.327061237159294,0.31044764875640746
13,anger,1,0.1073905447367896,2.34066927052194,-1.9772954839528667,0.6493278440714241
13,anger,2,0.049258508179582966,1.9717162340359429,-1.5405849810988066,0.4397659816054287
13,anger,3,0.033798779509581434,2.2204087784009436,-1.6617886894117402,0.364276800179937
13,anger,4,0.025789353522268257,1.0175057480849403,-1.567550260307733,0.3182007843502377
13,anger,5,0.023279818750339264,1.2367386147284911,-1.3939096516483942,0.30232273719479924
13,anticipation,1,0.10765981541436975,2.004379762606291,-2.3663319647135177,0.6565507604796793
13,anticipation,2,0.06095758790158163,1.7668408392943973,-1.971684547809873,0.4940323408355294
13,anticipation,3,0.03412564780546703,1.2705242767806777,-1.3124924357412227,0.3696425399505671
13,anticipation,4,0.03191473365508708,1.496808566877077,-1.464416968845366,0.35746794723456243
13,anticipation,5,0.02687657352021224,1.5030919470150796,-1.4502818530610329,0.32804124245079946
