axis,attr,rho_pooled,rho_per_prompt_mean
PC1,valence,-0.6332861240492053,-0.7765796709470368
PC1,arousal,0.11393916849132853,0.11501656459913089
PC1,dominance,-0.5793867377563678,-0.7815600872688985
PC1,emotional_intensity,0.12529584650851985,0.09685378403109873
PC1,threat,0.46172726074653253,0.6059624685765016
PC1,social_warmth,-0.5883779614680599,-0.6735061563754225
PC1,certainty,-0.5429027939008908,-0.6814490573682355
PC1,agency,-0.5590358185073494,-0.7333451304875759
PC2,valence,0.4132086244719058,0.615748851299708
PC2,arousal,0.42327557718156766,0.5073289884028336
PC2,dominance,0.264906354341753,0.46132797061665176
PC2,emotional_intensity,0.4196754844311464,0.5472041044343415
PC2,threat,-0.16770533676823982,-0.4464057482183811
PC2,social_warmth,0.6000860129534161,0.8229856880801143
PC2,certainty,0.32819424535410596,0.6516105838096293
PC2,agency,0.20887511081048837,0.22660548504805808
PC3,valence,-0.11536791349508388,-0.03081573205734034
PC3,arousal,0.20832570109157808,0.32364242524956066
PC3,dominance,-0.17526828107199577,-0.12331116296471421
PC3,emotional_intensity,0.342374088543642,0.46343210514072564
PC3,threat,0.2246461521876912,0.31874553776316333
PC3,social_warmth,0.026382280494985963,0.15887255887715668
PC3,certainty,-0.21033573830192892,-0.13003485050724103
PC3,agency,-0.18069139638580556,-0.10618454983625017
PC4,valence,-0.11105050546981167,-0.11186005162974391
PC4,arousal,-0.20134974135593212,-0.15515351678991646
PC4,dominance,-0.07578277608285293,-0.1248278720976051
PC4,emotional_intensity,-0.2873514342242773,-0.35150909303208744
PC4,threat,0.0002952219424206198,0.04108385033204398
PC4,social_warmth,-0.19393918907526314,-0.3137898035182537
PC4,certainty,-0.08703631689025794,-0.1027730515066628
PC4,agency,-0.0817289537638723,-0.1340732244982196
v_intensity,valence,0.24802748778185502,0.36971232613077226
v_intensity,arousal,0.7617016367073567,0.8003399094784724
v_intensity,dominance,0.14992532720421345,0.18123688449049968
v_intensity,emotional_intensity,0.7301449788356252,0.8435290932677046
v_intensity,threat,0.15176095534522255,0.2556406827267585
v_intensity,social_warmth,0.4252285004868057,0.5330954596246709
v_intensity,certainty,0.18984830071342848,0.3886325074393518
v_intensity,agency,0.14877321733832233,0.09898335663794175
v_joy,valence,0.5978369870073373,0.6978932438422646
v_joy,arousal,0.18751979231704946,0.27169010953685185
v_joy,dominance,0.5125379837308627,0.6032424307899554
v_joy,emotional_intensity,0.15437920539855005,0.20530830831099212
v_joy,threat,-0.40458110083656185,-0.5432740592744902
v_joy,social_warmth,0.5845506520991651,0.682169843817084
v_joy,certainty,0.5497928304740043,0.7703905608288512
v_joy,agency,0.44473848516445724,0.46113360621628974
v_sadness,valence,-0.5224997392896219,-0.623753813714035
v_sadness,arousal,-0.32074455336783725,-0.4833118269723633
v_sadness,dominance,-0.5324736337034225,-0.661233823491699
v_sadness,emotional_intensity,-0.17172253521418773,-0.2949779754327089
v_sadness,threat,0.43836618372261743,0.618662361091005
v_sadness,social_warmth,-0.5316416479011401,-0.6397387655888847
v_sadness,certainty,-0.5354840822786607,-0.8009944907896408
v_sadness,agency,-0.5081151649526993,-0.618465349011763
v_fear,valence,-0.43979041431794863,-0.5398052858516731
v_fear,arousal,0.07924065168799031,0.10481821574262866
v_fear,dominance,-0.42344277790671114,-0.5712225536793151
v_fear,emotional_intensity,0.10924941084013763,0.142315169464241
v_fear,threat,0.4863760502458703,0.738381596833879
v_fear,social_warmth,-0.38187543651350164,-0.4412257019681146
v_fear,certainty,-0.49170781070332814,-0.580345074705765
v_fear,agency,-0.4223706111329184,-0.4869257429794517
v_anger,valence,-0.5862942288793476,-0.7576473417751848
v_anger,arousal,0.20913175177429075,0.3174697957703505
v_anger,dominance,-0.4531634620070049,-0.6435936277171471
v_anger,emotional_intensity,0.17585519369359554,0.36109276295633574
v_anger,threat,0.2830682774006679,0.4618339686894592
v_anger,social_warmth,-0.6503277862033859,-0.7027720186126422
v_anger,certainty,-0.46763028357441583,-0.6767182544201642
v_anger,agency,-0.4461499288525375,-0.6007956556907864
v_trust,valence,0.48715493128953,0.5908960012148992
v_trust,arousal,-0.33554323091826,-0.4202493302960194
v_trust,dominance,0.49327773878113246,0.6639270546879636
v_trust,emotional_intensity,-0.3244808526577527,-0.3719072577794324
v_trust,threat,-0.36090899963074197,-0.525444764230868
v_trust,social_warmth,0.28735577400253226,0.2836511985238955
v_trust,certainty,0.46602976980083427,0.6115979511328669
v_trust,agency,0.4981725529653025,0.6831182022522508
v_joy_minus_sadness,valence,0.608507962818419,0.7394590880890046
v_joy_minus_sadness,arousal,0.3996822792576193,0.6155783587131871
v_joy_minus_sadness,dominance,0.48636110110994396,0.7704786165082677
v_joy_minus_sadness,emotional_intensity,0.2065374488176155,0.2737602517991638
