pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.09112966458754687,0.09112966458754687,0.3558743787041255,13,fear
2,0.04447324633191337,0.13560291091946025,0.17367438999098425,13,fear
3,0.03793641163287104,0.1735393225523313,0.14814711522549415,13,fear
4,0.03075264897169346,0.20429197152402476,0.12009349420784562,13,fear
5,0.023776085609281048,0.2280680571333058,0.09284901609717165,13,fear
6,0.020275855734526685,0.24834391286783247,0.0791801176365265,13,fear
7,0.018751645368765127,0.2670955582365976,0.07322785807993963,13,fear
8,0.017050991939409486,0.2841465501760071,0.06658656311520776,13,fear
9,0.01581841107154673,0.29996496124755384,0.06177315847316773,13,fear
10,0.013910477742054539,0.3138754389896084,0.0543224058415739,13,fear
11,0.013034824528692292,0.3269102635183007,0.05090285475822507,13,fear
12,0.012139595789326354,0.33904985930762704,0.04740685844503918,13,fear
13,0.011039484530508464,0.3500893438381355,0.04311076657957291,13,fear
14,0.010672304802295562,0.3607616486404311,0.041676877206206636,13,fear
15,0.009597490963729142,0.3703591396041602,0.037479575386282125,13,fear
16,0.009120627263742239,0.37947976686790247,0.03561735440996812,13,fear
17,0.008916107385009336,0.3883958742529118,0.03481867502158089,13,fear
18,0.008450749980574237,0.396846624233486,0.03300138777567418,13,fear
19,0.00795261561096317,0.40479923984444915,0.03105610179115038,13,fear
20,0.007848809379226707,0.4126480492236759,0.030650723604014177,13,fear
21,0.007361635413563812,0.4200096846372397,0.028748239565081372,13,fear
22,0.006912252225863608,0.4269219368631033,0.026993333921055292,13,fear
23,0.006734999105640271,0.4336569359687436,0.026301135125873204,13,fear
24,0.006172819966105177,0.4398297559348488,0.024105745151511215,13,fear
25,0.005980424392254296,0.44581018032710307,0.023354412908388238,13,fear
26,0.005862300628322898,0.45167248095542595,0.02289312270953214,13,fear
27,0.005269317493123334,0.45694179844854926,0.020577438724780517,13,fear
28,0.005256375555423022,0.4621981740039723,0.020526898606377013,13,fear
29,0.005104514774055175,0.46730268877802744,0.019933860527465982,13,fear
30,0.004813820834075603,0.47211650961210305,0.018798659100449852,13,fear
31,0.004546303106437715,0.4766628127185408,0.017753964098593315,13,fear
32,0.004463828229349445,0.4811266409478902,0.017431887903368318,13,fear
33,0.004299686354072417,0.4854263273019626,0.016790890395609194,13,fear
34,0.004196219809600631,0.4896225471115632,0.016386838735842728,13,fear
35,0.004118914667433968,0.4937414617789972,0.01608495109515284,13,fear
36,0.0039378847065975435,0.49767934648559475,0.015378003197000494,13,fear
37,0.003917139195555877,0.5015964856811507,0.01529698900819307,13,fear
38,0.0038000053391010536,0.5053964910202517,0.014839564539665236,13,fear
39,0.0037531461023644556,0.5091496371226162,0.014656572515765423,13,fear
40,0.003609742815320666,0.5127593799379369,0.014096562162256321,13,fear
41,0.0035607763867759206,0.5163201563247127,0.01390534125285661,13,fear
42,0.0034367580550192056,0.5197569143797319,0.013421031923270049,13,fear
43,0.0033990676419647053,0.5231559820216967,0.013273845467689645,13,fear
44,0.0033297088625650383,0.5264856908842617,0.013002989510540582,13,fear
45,0.003258303258250642,0.5297439941425123,0.01272414040924749,13,fear
46,0.0032291565321364646,0.5329731506746488,0.012610318273567648,13,fear
47,0.0031419863235796707,0.5361151369982284,0.012269906137167694,13,fear
48,0.0031221487863165227,0.539237285784545,0.01219243771587486,13,fear
49,0.003021532517845759,0.5422588183023908,0.011799516791699159,13,fear
50,0.0029700022618145937,0.5452288205642053,0.011598283769142183,13,fear
