pc,evr,evr_cumsum,eigenvalue,layer,emotion
1,0.13637686618483172,0.13637686618483172,0.5035237368155783,13,sadness
2,0.04318857374554588,0.1795654399303776,0.15945865782411675,13,sadness
3,0.032436648143150025,0.21200208807352763,0.11976094435749365,13,sadness
4,0.026217183605759902,0.23821927167928753,0.09679775336721,13,sadness
5,0.023698880365460136,0.26191815204474767,0.08749980208365461,13,sadness
6,0.019950580551286935,0.2818687325960346,0.07366051993898581,13,sadness
7,0.0159842644932561,0.2978529970892907,0.059016289294877886,13,sadness
8,0.014752010500393776,0.31260500758968446,0.054466623706059966,13,sadness
9,0.012600513259709987,0.32520552084939447,0.04652297489901619,13,sadness
10,0.012386769488756697,0.3375922903381512,0.04573380100697508,13,sadness
11,0.011368795147227682,0.34896108548537885,0.04197528786051243,13,sadness
12,0.010687289933752585,0.3596483754191314,0.039459068934619215,13,sadness
13,0.010144192552501182,0.3697925679716326,0.03745387237516875,13,sadness
14,0.009486108515395855,0.37927867648702845,0.035024127926774826,13,sadness
15,0.009093360574768951,0.3883720370617974,0.03357404393362118,13,sadness
16,0.008271440770847883,0.3966434778326453,0.030539393390528604,13,sadness
17,0.00811804925733901,0.4047615270899843,0.029973049037278054,13,sadness
18,0.0076928665201089685,0.4124543936100933,0.028403210935928878,13,sadness
19,0.007274431346293063,0.41972882495638636,0.026858285845413093,13,sadness
20,0.006873846935589253,0.4266026718919756,0.025379268435566767,13,sadness
21,0.0065615483193564896,0.4331642202113321,0.024226215350780858,13,sadness
22,0.006374378989563296,0.4395385992008954,0.023535158260298904,13,sadness
23,0.005884352205016681,0.4454229514059121,0.0217259062617948,13,sadness
24,0.00582733269020223,0.45125028409611434,0.021515381706025405,13,sadness
25,0.005504669376401939,0.45675495347251627,0.020324060611450423,13,sadness
26,0.005379169350559868,0.46213412282307614,0.019860695791959652,13,sadness
27,0.00514685647692504,0.4672809793000012,0.01900296200238542,13,sadness
28,0.005127093693028341,0.4724080729930295,0.018929994855713655,13,sadness
29,0.004899942290684998,0.4773080152837145,0.01809131798821763,13,sadness
30,0.004795906006308789,0.48210392129002333,0.017707200504519773,13,sadness
31,0.004623205792339878,0.4867271270823632,0.01706956554839297,13,sadness
32,0.00452445652570012,0.4912515836080633,0.016704968522979147,13,sadness
33,0.004478339136092698,0.495729922744156,0.016534696240025838,13,sadness
34,0.004301293471430774,0.5000312162155868,0.01588101723161726,13,sadness
35,0.004007943892759269,0.504039160108346,0.014797926820625106,13,sadness
36,0.003911064157651602,0.5079502242659977,0.014440232384554092,13,sadness
37,0.0038311811773235924,0.5117814054433213,0.014145292502974683,13,sadness
38,0.0037380032793037773,0.515519408722625,0.013801265801730713,13,sadness
39,0.0035891201940359686,0.519108528916661,0.013251567238184915,13,sadness
40,0.003538789342017731,0.5226473182586787,0.013065738223379812,13,sadness
41,0.0034154856853244792,0.5260628039440032,0.012610482726475624,13,sadness
42,0.0033469557789835916,0.5294097597229868,0.012357460087888088,13,sadness
43,0.0032552822110622475,0.532665041934049,0.012018987597807465,13,sadness
44,0.0032390193981829407,0.5359040613322319,0.011958942866313028,13,sadness
45,0.003187938420098348,0.5390919997523302,0.011770344274155251,13,sadness
46,0.003126199611599209,0.5422181993639295,0.011542395382003003,13,sadness
47,0.0030203507538204416,0.5452385501177499,0.011151585606874488,13,sadness
48,0.0029640517796744262,0.5482026018974243,0.01094372139475463,13,sadness
49,0.002931286938329127,0.5511338888357534,0.01082274871212974,13,sadness
50,0.002840497886570293,0.5539743867223237,0.010487541987687237,13,sadness
