,meta_PC1,meta_PC2,meta_PC3
pooled_PC1,0.5570522325977483,0.6909491330224504,0.4482932290735341
pooled_PC2,0.7152898628575519,0.12878035824536954,0.6561339547602573
pooled_PC3,0.3999502829863487,0.6998318370788942,0.5551186196057539
pooled_PC4,0.10938623976223766,0.09660278263027994,0.00964234484535981
pooled_PC5,0.03726852418541569,0.0030241777481899382,0.158700953955051
