pooled_pc,evr,evr_cumsum
1,0.11356400547343455,0.11356400547343455
2,0.04510832187319864,0.1586723273466332
3,0.030565651985142567,0.18923797933177577
4,0.022178178929219385,0.21141615826099516
5,0.019144639685974626,0.2305607979469698
