target_emotion,steering_mode,alpha_g,alpha_r,n_rows,mean_text_length_chars,mean_text_length_words,mean_repetition_rate
surprise,last_token,-3.0,3.0,3,425.3333333333333,79.0,0.2864145658263305
surprise,last_token,-3.0,5.0,3,390.6666666666667,74.66666666666667,0.2518231357442838
surprise,last_token,3.0,-5.0,3,120.66666666666667,23.0,0.0980392156862745
surprise,last_token,3.0,-3.0,3,210.0,38.333333333333336,0.1392033542976939
surprise,last_token,3.0,-1.5,3,245.0,44.333333333333336,0.11301044634377966
surprise,last_token,3.0,1.5,3,324.0,61.333333333333336,0.19357969391564014
surprise,last_token,3.0,3.0,3,358.3333333333333,67.0,0.24494782480893593
surprise,last_token,3.0,5.0,3,355.0,66.33333333333333,0.2756159420289855
surprise,last_token,5.0,-5.0,3,101.66666666666667,17.666666666666668,0.0942982456140351
surprise,last_token,5.0,-3.0,3,103.33333333333333,17.666666666666668,0.07541423001949321
surprise,last_token,5.0,-1.5,3,159.0,30.333333333333332,0.11870694223635399
surprise,last_token,5.0,1.5,3,208.0,40.0,0.1236208236208236
surprise,last_token,5.0,3.0,3,292.3333333333333,56.333333333333336,0.2196445529778863
surprise,last_token,5.0,5.0,3,341.6666666666667,73.0,0.5098997620899999
trust,completion_tokens,-5.0,-5.0,3,417.0,82.0,0.2838144517066086
trust,completion_tokens,-5.0,-3.0,3,409.0,81.66666666666667,0.26864725688255103
trust,completion_tokens,-5.0,-1.5,3,401.0,78.33333333333333,0.2719713892461472
trust,completion_tokens,-5.0,1.5,3,319.0,59.333333333333336,0.20626865671641792
trust,completion_tokens,-5.0,3.0,3,353.6666666666667,66.0,0.21554292603117195
trust,completion_tokens,-5.0,5.0,3,325.0,59.0,0.2668212402254955
trust,completion_tokens,-3.0,-5.0,3,411.6666666666667,82.33333333333333,0.28403002226531643
trust,completion_tokens,-3.0,-3.0,3,414.3333333333333,83.33333333333333,0.2757324851774386
trust,completion_tokens,-3.0,-1.5,3,386.3333333333333,73.0,0.2177215189873418
trust,completion_tokens,-3.0,1.5,3,350.0,63.0,0.18981323095247146
trust,completion_tokens,-3.0,3.0,3,296.0,53.0,0.1908305005507088
trust,completion_tokens,-3.0,5.0,3,273.3333333333333,49.666666666666664,0.16468445301617915
trust,completion_tokens,3.0,-5.0,3,336.6666666666667,64.66666666666667,0.2863895363895364
trust,completion_tokens,3.0,-3.0,3,358.6666666666667,67.33333333333333,0.20539728086356493
trust,completion_tokens,3.0,-1.5,3,311.6666666666667,58.0,0.19964796967123324
trust,completion_tokens,3.0,1.5,3,268.0,50.0,0.14672804672804673
trust,completion_tokens,3.0,3.0,3,266.0,48.333333333333336,0.15359730848861286
trust,completion_tokens,3.0,5.0,3,227.33333333333334,38.666666666666664,0.12824697402420782
trust,completion_tokens,5.0,-5.0,3,379.6666666666667,79.66666666666667,0.47427740163689264
trust,completion_tokens,5.0,-3.0,3,242.66666666666666,43.666666666666664,0.2241356657107
trust,completion_tokens,5.0,-1.5,3,241.66666666666666,45.0,0.12235059192697188
trust,completion_tokens,5.0,1.5,3,241.33333333333334,44.666666666666664,0.15656565656565657
trust,completion_tokens,5.0,3.0,3,152.0,26.333333333333332,0.11442336645588676
trust,completion_tokens,5.0,5.0,3,137.33333333333334,24.333333333333332,0.06734006734006737
trust,last_token,-5.0,-5.0,3,419.3333333333333,82.33333333333333,0.31044061302681997
trust,last_token,-5.0,-3.0,3,400.3333333333333,78.0,0.264942121426884
trust,last_token,-5.0,-1.5,3,359.3333333333333,70.66666666666667,0.20224602112152312
trust,last_token,-5.0,1.5,3,365.6666666666667,65.66666666666667,0.2113270646537968
trust,last_token,-5.0,3.0,3,344.6666666666667,60.333333333333336,0.20416379112031288
trust,last_token,-5.0,5.0,3,351.3333333333333,63.0,0.23383190883190885
trust,last_token,-3.0,-5.0,3,422.6666666666667,82.0,0.26792168674698796
trust,last_token,-3.0,-3.0,3,362.0,71.33333333333333,0.2430872348939576
trust,last_token,-3.0,-1.5,3,373.0,72.33333333333333,0.19159954125345746
trust,last_token,-3.0,1.5,3,315.6666666666667,58.666666666666664,0.1865740740740741
trust,last_token,-3.0,3.0,3,275.3333333333333,52.0,0.17705551818558607
trust,last_token,-3.0,5.0,3,289.0,50.666666666666664,0.20181157657438495
trust,last_token,3.0,-5.0,3,348.6666666666667,67.66666666666667,0.2942942942942943
trust,last_token,3.0,-3.0,3,310.0,58.0,0.22016107335954246
trust,last_token,3.0,-1.5,3,303.0,58.0,0.2161088750210275
trust,last_token,3.0,1.5,3,263.3333333333333,49.666666666666664,0.12045177045177047
trust,last_token,3.0,3.0,3,222.0,38.666666666666664,0.09507501630789301
trust,last_token,3.0,5.0,3,175.66666666666666,31.333333333333332,0.11116102625536588
trust,last_token,5.0,-5.0,3,355.3333333333333,68.0,0.3077074542897328
trust,last_token,5.0,-3.0,3,266.0,50.333333333333336,0.22527991229583913
trust,last_token,5.0,-1.5,3,205.0,38.0,0.1228837120122711
trust,last_token,5.0,1.5,3,174.0,31.666666666666668,0.14992991309223436
trust,last_token,5.0,3.0,3,125.66666666666667,21.666666666666668,0.08641975308641976
trust,last_token,5.0,5.0,3,121.66666666666667,20.333333333333332,0.08465608465608469
