layer,pair,cosine
22,fear↔anger,0.33186209201812744
22,fear↔anticipation,0.3353557586669922
22,surprise↔sadness,0.3163050413131714
22,surprise↔disgust,0.3155171573162079
22,surprise↔anger,0.2958979606628418
22,surprise↔anticipation,0.33416467905044556
22,sadness↔disgust,0.3108768165111542
22,sadness↔anger,0.3351559638977051
22,sadness↔anticipation,0.3061542510986328
22,disgust↔anger,0.35291826725006104
22,disgust↔anticipation,0.32877039909362793
22,anger↔anticipation,0.32573577761650085
