layer,ratio_global,ratio_shared,ratio_specific
8,0.0,0.0,0.0
10,0.9849952910431583,0.009588222832380392,0.005416510803517785
13,0.9858126563727899,0.009500591236572698,0.004686662895360011
16,0.9877735975518732,0.008596970179902422,0.0036293071498666994
19,0.9907716953835988,0.006544378264325855,0.0026839335324521834
22,0.9931532747529062,0.004914725327466252,0.0019318652188638587
