layer,mean,std,min,max
8,0.0,0.0,0.0,0.0
10,0.97175118965762,0.03795750666780981,0.7899361252784729,0.9999960064888
13,0.9678866174959001,0.039083326765246514,0.7805508375167847,0.9999749064445496
16,0.9631576389074326,0.04022955686434829,0.8002879619598389,0.9999942779541016
19,0.9606000681718191,0.04186630663960329,0.7837345600128174,0.999998927116394
22,0.958771563356831,0.043473134656859355,0.7706167697906494,0.9999986886978149
