emotion,m1,m2,m3,m4,m5
joy,0.017216951838201527,-0.023740215718958024,-0.012615231638360454,0.024117288712536843,0.016764203999219563
trust,-0.010530084671531518,-0.023445430794665937,0.015965876284869913,-0.022253410743765203,0.0135900590987739
fear,-0.04823954804659312,0.01477899178532006,0.013219762641419252,-0.002692726840791972,-0.027129237269784418
surprise,0.027782042781897363,0.08335922837390289,-0.0381839529826936,-0.00646217033170042,-0.022376290886736094
sadness,0.003338018389697407,0.02306329317810618,-0.010970548131198176,0.040693069510882654,-0.035528306897881515
disgust,-0.006485564309826991,0.012494227992320608,-0.01808670500601051,0.011195246238049968,-0.04498505354837448
anger,-0.006198761797605833,0.0076637321158697855,0.00029533550179462135,-0.0016708577902507047,-0.042878851911732324
anticipation,0.0028473304370628155,-0.025869832901693243,0.021887850105273367,-0.004137706646571555,0.010123938878188929
