emotion,proj_norm,residual_norm,explained_var_ratio,coeff_m1,coeff_m2,coeff_m3,coeff_m4,coeff_m5
joy,0.3922292854833727,0.8731534778448105,0.23760300412751212,0.1596839501936405,-0.26091995588166894,-0.07325669658219605,0.1558693289485708,0.26922746819632604
trust,0.43910916590301863,0.9025586697514607,0.18538784765647365,-0.06241723970226473,-0.2493665639020295,0.1522709650642855,-0.21134388628560563,0.23488310612300858
fear,0.5005965892826899,0.8769990521891414,0.23087266245934757,-0.4416624061327226,0.06023349535157212,0.1621952187784746,-0.0729205580988625,-0.10206053149550143
surprise,0.680131586750683,0.7754916455996186,0.3986127076051955,0.2240146124733649,0.5532011786191233,-0.2559815686642525,-0.0834954712055435,-0.043401539324923064
sadness,0.5431086205645681,0.8586009077704193,0.2628044811758119,0.07045505102988706,0.17378755843942553,-0.08867886923667415,0.42941055320221044,-0.22685310824230653
disgust,0.3322657328614294,0.9352585980678841,0.1252913547400959,-0.04106635149603592,0.04100692111494214,-0.1510469501911756,0.06593858332277641,-0.29549085476512826
anger,0.26633521599664817,0.9705250368730219,0.058081152802619385,-0.03366105756256159,-0.008059716052393246,0.03543792708271511,-0.05990755805028961,-0.2417953929146633
anticipation,0.4775927031919364,0.8791442817222072,0.22710533191514448,0.04984486020759837,-0.3186896613750231,0.2356984040284195,-0.08324326742205859,0.2471219768445867
