alpha_g,tm_mean,tm_ci,mp_mean,mp_ci,em_mean,em_ci,n
0.0,0.2696875,0.020148470186797628,0.8703125,0.004290127480266019,0.5666875,0.015420261789176794,800
0.25,0.2669375,0.01992735652726908,0.8715625,0.003960987173852849,0.5710999999999999,0.015265438729512677,800
0.5,0.2693125,0.020127833120764868,0.8703749999999999,0.0045587220964532224,0.56785,0.015197624748706723,800
1.0,0.265375,0.019906669965243592,0.869375,0.004473417435047308,0.562875,0.015093835606312531,800
2.0,0.253875,0.01968307297326407,0.8675,0.004520402919341537,0.5400625,0.01545408889490584,800
3.0,0.2515,0.019483624471031056,0.8633124999999999,0.005334955270605528,0.5309125,0.015603660615876544,800
