layer,bal_acc_full,std_full,bal_acc_pca,std_pca,n_components
8,,,0.2694371296905859,0.28887425938117184,64
10,,,0.8529485867529486,0.0020939731840789906,64
13,,,0.8574642387046296,0.0011440330505755715,64
16,,,0.7554703983182103,0.0015978472542326997,64
19,,,0.6522033392076138,0.002196835587786967,64
22,,,0.563043339627618,0.001966034685961556,64
