layer,joy_vs_trust,joy_vs_sadness,anger_vs_disgust,fear_vs_anger,anticipation_vs_surprise
8,0.331333339847593,-0.2837627392680445,0.7630488029383626,-0.14083324047047108,-0.37960350681686517
10,0.41476701740993316,-0.34137365263756186,0.82266376243967,0.019067844440401424,-0.2558865793588625
13,0.4679363130492039,-0.40622023117280714,0.8183584645348991,0.06896558065574933,-0.3267579696221924
16,0.5125099270108733,-0.48759300906674785,0.7826832808367765,0.11924124269516292,-0.3054206378558053
19,0.5406694628385644,-0.4689156815750392,0.7680595839108949,0.08693822947179347,-0.3050288860015203
22,0.5274012655420306,-0.42915952259473994,0.7583536419929191,0.08993344744812445,-0.3007343396020887
