emotion,spearman_rho_pc1_int
joy,-0.08560713716376206
trust,-0.020831818508008058
fear,0.2428038773837651
surprise,0.3440934363026904
sadness,0.05076438421381857
disgust,0.08010671374139987
anger,0.10750059637427205
anticipation,-0.1373649027046505
