attr,r2_cv,pearson_cv,y_std
valence,0.5433062625762546,0.7420185207721313,0.5655719687057645
arousal,0.14873414718170697,0.43199087572628675,0.15861161713218144
dominance,0.4872072760561159,0.7051290919378626,0.3715849494814375
emotional_intensity,0.09338005907237745,0.35845797996711415,0.14888777704385683
threat,0.37871816451919216,0.6197333705677618,0.2415388986081048
social_warmth,0.42230979980803895,0.6586249176288033,0.4283770020289919
certainty,0.41691077749046357,0.6577508086220426,0.44179018937564857
agency,0.48204010850961465,0.7021636618814515,0.41006062114058706
