,valence,arousal,dominance,emotional_intensity,threat,social_warmth,certainty,agency
PC1,-0.7633955433261063,0.2663883579727763,-0.7248017747184322,0.2535482698160187,0.5142827277241967,-0.6900641646684885,-0.7087661681502817,-0.7389838445922726
PC2,0.1848858863581362,0.22711275863158273,0.15563541697251349,0.16763461086058404,-0.31950497213123824,0.14868911231955903,0.19378917919044353,0.1430923582063799
PC3,0.02005160204148865,0.13112214798022617,-0.1445574100988762,-0.011288603155303943,0.20403449852267266,0.06011012636758452,-0.18710131957993129,-0.13279477905071066
PC4,-0.07196877279512659,-0.14695775981454215,-0.054772034082431045,-0.20047557276168584,0.07555802722972471,-0.07311968436335978,-0.09869714742609037,-0.08251599342203901
